Crop,Agent,khy1_ratio,khy2_ratio,rby1_ratio,rby2_ratio
Rice1,10100,-1.938814105,0,-0.564180053,0
Rice1,10200,-3.864452224,0,-0.725412518,0
Rice1,10214,-5.570798268,0,-1.16929128,0
Rice1,10226,-4.794866149,0,-1.413926966,0
Rice1,10240,-5.067078704,0,-1.299248287,0
Rice1,10300,-2.571986461,0,-0.632838365,0
Rice1,10400,-0.903558992,0,-0.141580669,0
Rice1,10410,-1.301204673,0,-0.495391432,0
Rice1,10426,-1.112142889,0,-0.527870778,0
Rice1,10500,0.010191783,0,0.219336882,0
Rice1,10600,-2.83976787,0,-0.536440723,0
Rice1,10609,-1.021780456,0,-0.488310177,0
Rice1,10614,-4.573272162,0,-0.859010689,0
Rice1,10626,-2.64480088,0,-0.948867747,0
Rice1,10650,-4.103719331,0,-1.451799259,0
Rice1,20700,-1.663517344,0,-0.401013171,0
Rice1,20718,-3.554256563,0,-1.067248433,0
Rice1,20729,-4.703638004,0,-1.11726453,0
Rice1,20740,-3.962718984,0,-0.930668321,0
Rice1,20800,-0.097052012,0,0.216747823,0
Rice1,30900,-5.050385098,0,-0.730834741,0
Rice1,30923,-5.030278623,0,-0.565413611,0
Rice1,31000,-1.801309927,0,-0.645414925,0
Rice1,31023,-3.16334457,0,-1.003205512,0
Rice1,31046,-1.2818451,0,-0.650832804,0
Rice1,41100,-1.22462461,0,-0.492147449,0
Rice1,41200,-0.682845401,0,-0.438500526,0
Rice1,41300,-0.850201991,0,-0.392609564,0
Rice1,41400,-3.258338691,0,-0.896751481,0
Rice1,41403,-4.492688836,0,-1.652264555,0
Rice1,41408,-4.008879479,0,-1.393515285,0
Rice1,41422,-4.025752273,0,-1.29945963,0
Rice1,41436,-4.212717809,0,-1.360920335,0
Rice1,41441,-4.604272907,0,-1.317408675,0
Rice1,41500,-2.942986064,0,-0.903795533,0
Rice1,41516,-3.654858556,0,-1.527083586,0
Rice1,41539,-4.113997074,0,-1.371485932,0
Rice1,41626,-0.983662295,0,-0.483569038,0
Rice1,51600,-0.24889281,0,0.033879638,0
Rice1,51610,-1.150410795,0,-0.472277157,0
Rice1,51624,-0.994641899,0,-0.43676992,0
Rice1,51625,-0.38770286,0,-0.282630126,0
Rice1,51627,-1.01274985,0,-0.488493371,0
Rice1,51700,-0.950091762,0,-0.040992928,0
Rice1,51719,-0.851284461,0,-0.303612417,0
Rice1,51724,-0.985062363,0,-0.464288824,0
Rice1,51727,-1.114111518,0,-0.477674651,0
Rice1,51800,-4.268353072,0,-0.814525115,0
Rice1,51817,-4.693785889,0,-0.985124289,0
Rice1,51821,-4.509317601,0,-1.063429427,0
Rice1,51832,-6.794624387,0,-1.276824097,0
Rice1,51849,-5.485141327,0,-1.350358945,0
Rice1,51900,-0.672170869,0,-0.035067176,0
Rice1,51915,-2.217995363,0,-0.483633715,0
Rice1,51933,0.209561379,0,-0.114032806,0
Rice1,52000,-2.904273087,0,-0.26819674,0
Rice1,52004,-6.075999217,0,-1.039121475,0
Rice1,52017,-3.861809083,0,-0.658094651,0
Rice1,52021,-5.867499482,0,-1.150285011,0
Rice1,52035,-1.03493801,0,-0.489212513,0
Rice1,52100,-3.574290921,0,-0.60581042,0
Rice1,52101,-6.332363425,0,-0.966959391,0
Rice1,52104,-6.750662059,0,-0.942298856,0
Rice1,52121,-5.304886677,0,-0.795848315,0
Rice1,52135,-1.150020553,0,-0.506606955,0
Rice1,52145,0.518830439,0,0.091553893,0
Rice1,52200,-1.590003155,0,-0.418628808,0
Rice1,52221,-4.125614243,0,-1.068338506,0
Rice1,52249,-3.496116795,0,-1.090294116,0
Rice1,52300,-0.852254863,0,-0.231212587,0
Rice1,52301,-4.990079288,0,-0.819644429,0
Rice1,52304,-5.229637286,0,-0.81837984,0
Rice1,52309,-6.544764958,0,-0.941092223,0
Rice1,52319,-0.854618067,0,-0.393946478,0
Rice1,52400,0.285987297,0,-0.1139177,0
Rice1,52401,-0.092925464,0,-0.307440528,0
Rice1,52420,0.136572587,0,-0.152969539,0
Rice1,52448,0.535893322,0,-0.002868854,0
Rice1,52500,-0.086740177,0,-0.032781025,0
Rice1,52520,-0.485195018,0,-0.290511809,0
Rice1,52531,0.560173246,0,0.100783563,0
Rice1,52545,0.533362634,0,0.103230908,0
Rice1,52600,-2.174236352,0,-0.312763146,0
Rice1,52615,-9.10726162,0,-1.197521914,0
Rice1,52617,-5.935722483,0,-1.046033748,0
Rice1,52632,-6.75742726,0,-1.084872424,0
Rice1,52635,-7.027750883,0,-0.887776137,0
Rice1,52649,-10.62032564,0,-1.47867375,0
Rice1,52700,-0.878827746,0,-0.257520639,0
Rice1,52709,-2.912150016,0,-0.726174284,0
Rice1,52714,-4.626864279,0,-0.871513894,0
Rice1,52724,-1.085982742,0,-0.450033844,0
Rice1,52727,-1.220098631,0,-0.517472771,0
Rice1,52800,0.009860972,0,0.130658946,0
Rice1,52815,0.4277074,0,0.132844549,0
Rice1,62900,-1.818937328,0,-0.559257268,0
Rice1,62907,-4.123440073,0,-0.787511405,0
Rice1,62930,-3.701030124,0,-1.005597251,0
Rice1,62944,-2.679577769,0,-0.748915623,0
Rice1,63000,-4.10362773,0,-0.902359105,0
Rice1,63023,-4.151886708,0,-0.852072734,0
Rice1,63038,-3.179081822,0,-0.93349266,0
Rice1,63044,-4.743148547,0,-1.049574929,0
Rice1,63100,-0.393812402,0,0.037172473,0
Rice1,63123,-1.649876503,0,-0.507119325,0
Rice1,63144,-0.449297919,0,-0.183434988,0
Rice1,63200,0.49888807,0,0.734531064,0
Rice1,63244,0.498516778,0,0.585381681,0
Rice1,63349,-6.863787946,0,-0.864804035,0
Rice1,73300,-6.536870109,0,-0.246682167,0
Rice1,73312,-4.387088177,0,-0.462042897,0
Rice1,73333,-6.110140535,0,-0.843657784,0
Rice1,73400,-1.809055614,0,-0.120038842,0
Rice1,73443,-2.79114051,0,-0.835562006,0
Rice1,73444,-4.019032713,0,-0.986434953,0
Rice1,73447,-4.189748379,0,-1.037079271,0
Rice1,73500,-2.285231683,0,-0.204390836,0
Rice1,73512,-2.439436657,0,-0.671491246,0
Rice1,73533,-6.414020288,0,-1.426267364,0
Rice1,73549,-5.582888693,0,-0.992342247,0
Rice1,83600,-1.700161231,0,-0.677723956,0
Rice1,83700,-2.213505145,0,-0.685041206,0
Rice1,83703,-4.597535718,0,-1.534222507,0
Rice1,83706,-4.154239871,0,-1.426564373,0
Rice1,83716,-3.664535897,0,-1.552234933,0
Rice1,83734,-3.811832188,0,-1.013410306,0
Rice1,83800,-2.39388916,0,-0.323895524,0
Rice1,83811,-3.171626814,0,-0.778439081,0
Rice1,83826,-4.365250289,0,-1.566906328,0
Rice1,83828,-3.231011237,0,-0.685930712,0
Rice1,83841,-3.720299454,0,-1.02443646,0
Rice1,83900,-2.734329847,0,-0.750384098,0
Rice1,83902,-3.622341214,0,-1.398586744,0
Rice1,83903,-4.419464348,0,-1.527631219,0
Rice1,83906,-3.856073323,0,-1.219195133,0
Rice1,83942,-3.911355174,0,-1.303156345,0
Rice1,83946,-3.633191439,0,-0.908751973,0
Rice1,84000,-0.466443597,0,0.609916621,0
Rice1,84033,-3.200453902,0,-0.976585744,0
Rice1,84046,-4.17636364,0,-1.314976394,0
Rice1,84049,-4.640929068,0,-1.116747211,0
Rice1,84100,-3.061025736,0,-1.008067352,0
Rice1,84123,-3.653681553,0,-1.000244056,0
Rice1,84133,-3.25199454,0,-1.004669692,0
Rice1,84137,-3.890162695,0,-1.217427198,0
Rice1,84146,-2.17525249,0,-0.741309119,0
Rice1,84200,-2.398885045,0,-0.609013873,0
Rice1,84202,-2.581313467,0,-1.64361924,0
Rice1,84205,-3.728943081,0,-1.275258053,0
Rice1,84206,-3.899820438,0,-1.427968408,0
Rice1,84216,-3.623154295,0,-1.384645701,0
Rice1,84239,-4.103592104,0,-1.608836026,0
Rice1,84246,-2.731294027,0,-0.998282448,0
Rice1,84300,-1.800018345,0,-0.443083203,0
Rice1,84302,-2.510363644,0,-1.655476062,0
Rice1,84346,-3.878537562,0,-1.242530679,0
Rice1,84349,-4.447551237,0,-1.138817672,0
Rice1,84400,-2.18694158,0,-0.258438379,0
Rice1,84407,-4.932802579,0,-1.24973087,0
Rice1,84423,-3.893480702,0,-1.027340433,0
Rice1,84430,-4.478452183,0,-1.487492845,0
Rice1,84433,-3.982203088,0,-1.00694488,0
Rice1,84437,-3.893426605,0,-0.934215978,0
Rice1,84444,-2.216580757,0,-0.344722923,0
Rice1,84449,-4.074979876,0,-0.954131246,0
Rice1,84500,-1.899497535,0,-0.562880346,0
Rice1,84505,-3.574685187,0,-1.18587876,0
Rice1,84513,-3.469359112,0,-1.580754324,0
Rice1,84516,-3.690685457,0,-1.529204647,0
Rice1,84539,-4.004346917,0,-1.348195798,0
Rice1,84600,-2.012729141,0,-0.60701584,0
Rice1,84605,-3.327454343,0,-1.113988777,0
Rice1,84613,-3.394654476,0,-1.514490662,0
Rice1,84646,-1.769367883,0,-0.719810661,0
Rice2,10100,0,-1.993595846,0,-2.56783579
Rice2,10200,0,-3.539001054,0,-2.364979025
Rice2,10214,0,-3.848376238,0,-1.933472216
Rice2,10226,0,-4.481939902,0,-2.511048431
Rice2,10240,0,-4.306417009,0,-2.583560614
Rice2,10300,0,-2.793805605,0,-1.425057049
Rice2,10400,0,-0.906916714,0,-0.562792138
Rice2,10410,0,-1.092497538,0,-0.545185699
Rice2,10426,0,-1.027347652,0,-0.626352043
Rice2,10500,0,-0.051207738,0,-0.356244049
Rice2,10600,0,-2.833609284,0,-1.35862913
Rice2,10609,0,-0.920899142,0,-0.601732071
Rice2,10614,0,-2.324603194,0,-1.020894972
Rice2,10626,0,-2.4102415,0,-1.194154422
Rice2,10650,0,-4.123977253,0,-1.913261187
Rice2,20700,0,-1.66011084,0,-1.246044131
Rice2,20718,0,-2.8021941,0,-1.432163136
Rice2,20729,0,-3.783666116,0,-1.671813048
Rice2,20740,0,-3.163457672,0,-1.325052972
Rice2,20800,0,-0.083324859,0,-0.366292377
Rice2,30900,0,-4.220049541,0,-14.31168294
Rice2,30923,0,-3.15178511,0,-5.607616774
Rice2,31000,0,-1.895165231,0,-3.94759515
Rice2,31023,0,-2.860744781,0,-8.2334809
Rice2,31046,0,-1.407292191,0,-0.968701074
Rice2,41100,0,-1.333211157,0,-1.421845886
Rice2,41200,0,-1.083229602,0,-1.176658715
Rice2,41300,0,-1.032855771,0,-0.838726727
Rice2,41400,0,-3.458227946,0,-3.668732813
Rice2,41403,0,-4.322277252,0,-4.52533837
Rice2,41408,0,-4.188358553,0,-2.457148133
Rice2,41422,0,-3.851766253,0,-1.545401007
Rice2,41436,0,-3.680649439,0,-1.403055802
Rice2,41441,0,-4.075522257,0,-2.511918562
Rice2,41500,0,-2.817983777,0,-6.324354237
Rice2,41516,0,-4.05238297,0,-5.154339634
Rice2,41539,0,-3.647363743,0,-3.526844597
Rice2,41626,0,-0.585995482,0,-0.549072135
Rice2,51600,0,-0.125876997,0,-0.046459802
Rice2,51610,0,-0.812864678,0,-0.494506179
Rice2,51624,0,-0.646516473,0,-0.468198676
Rice2,51625,0,-0.146448387,0,-0.404459604
Rice2,51627,0,-0.671324239,0,-0.588009001
Rice2,51700,0,-0.863007369,0,-0.457274337
Rice2,51719,0,-0.748030424,0,-0.617067049
Rice2,51724,0,-0.781216315,0,-0.574617419
Rice2,51727,0,-0.838148865,0,-0.553126752
Rice2,51800,0,-4.054104868,0,-2.057155617
Rice2,51817,0,-4.506655366,0,-2.175732694
Rice2,51821,0,-3.67042321,0,-1.929510188
Rice2,51832,0,-5.442344043,0,-1.8173639
Rice2,51849,0,-2.927417646,0,-1.037065852
Rice2,51900,0,-0.425135353,0,-0.376086383
Rice2,51915,0,-1.440259768,0,-1.004760448
Rice2,51933,0,0.185796137,0,-0.339390404
Rice2,52000,0,-2.544092152,0,-1.101478116
Rice2,52004,0,-4.569357854,0,-1.581499677
Rice2,52017,0,-3.672782849,0,-1.785067531
Rice2,52021,0,-4.352713025,0,-1.839548186
Rice2,52035,0,-0.909839271,0,-0.85413792
Rice2,52100,0,-2.473396395,0,-1.317002498
Rice2,52101,0,-4.773194199,0,-1.791788871
Rice2,52104,0,-4.718077705,0,-1.503950338
Rice2,52121,0,-3.430648377,0,-1.53299987
Rice2,52135,0,-0.87554068,0,-0.867227444
Rice2,52145,0,0.57258805,0,0.212548712
Rice2,52200,0,-2.278931786,0,-2.945563974
Rice2,52221,0,-3.514109794,0,-2.147966838
Rice2,52249,0,-2.59991639,0,-1.149116205
Rice2,52300,0,-0.755683863,0,-0.59201616
Rice2,52301,0,-3.429693456,0,-1.512139236
Rice2,52304,0,-3.742520785,0,-1.480518672
Rice2,52309,0,-4.537094786,0,-1.591394149
Rice2,52319,0,-0.687607858,0,-0.546888278
Rice2,52400,0,0.302295052,0,-0.052484102
Rice2,52401,0,-0.013879223,0,-0.371611932
Rice2,52420,0,0.189017077,0,-0.155642054
Rice2,52448,0,0.576107297,0,0.294091506
Rice2,52500,0,0.056993298,0,-0.129564716
Rice2,52520,0,-0.274742065,0,-0.560868916
Rice2,52531,0,0.5883723,0,0.387287444
Rice2,52545,0,0.576990452,0,0.304746513
Rice2,52600,0,-1.839086883,0,-0.8615099
Rice2,52615,0,-7.014991852,0,-1.93939237
Rice2,52617,0,-5.190601894,0,-1.862940769
Rice2,52632,0,-4.942119015,0,-1.559529534
Rice2,52635,0,-4.612209626,0,-1.704279238
