FID_WaterB,NetCDF coordinates,index,lat,long,Lake_name,Downstream,HydroElec,Lake_type,Vol_total (Mm3),Command area,CCA_name,Daily data,Construction year,CCA_code,Shape_Area (m2)
1,"(85,57)","(85,57)",18.78750038,73.64583588,Andra,,0,2,83,Standard,Andra,1,2003,1,4022305
2,"(125, 45)","(125,45)",18.45416641,73.54582977,Temghar,1,0,2,101,Standard,Temghar,1,2000,45,3632029
3,"(18,95)","(18,95)",19.34583282,73.96250153,Chilewadi,,0,2,25,Standard,Chilewadi,1,2000,10,880308
4,"(60,60)","(60,60)",18.99583244,73.67082977,Kalmodi,1,0,2,42,,,1,2007,0,1173886
5,"(143,55)","(143,55)",18.30416679,73.62916565,Gunjwani,1,0,2,104,,,,2000,0,1436202
6,"(168,66)","(168,66)",18.09583282,73.72083282,Niradevghar,1,0,2,332,,,1,2000,0,13391771
7,"-170,234","-170,234",18.07916641,75.12083435,Ujjani,,0,2,1688,Tailored,Ujjani,1,1980,46,219023437
8,"(22,85)","(22,85)",19.3125,73.87916565,Pimpalgaon Joge,,0,2,110,Standard,Pimpalgaon Joge,1,1999,25,14883580
9,"(31,77)","(31,77)",19.23749924,73.8125,Manikdoh,1,0,2,288,,,1,1984,0,11518999
10,"(76,48)","(76,48)",18.86249924,73.5708313,Thokarwadi,,1,2,321,,,,1922,95,17165140
11,"(83,77)","(83,77)",18.80416679,73.4792,Shirvata,,1,2,185,,,,1920,96,9858586
12,"-98,159","-98,159",18.67916679,74.49583435,Ghod,,0,2,155,Tailored,Ghod,1,1965,14,22615617
13,"(98,39)","(98,39)",18.67916679,73.49583435,Pawana,,1,2,274,,,1,1972,98,18026085
14,"(116,41)","(116,41)",18.52916718,73.51249695,Mulshi,,1,2,523,Tailored,Mulshi,1,1927,31,30438234
15,"(133, 53)","(133,53)",18.38750076,73.61250305,Warasgaon,1,0,2,363,,,1,1993,0,15926796
16,"(159,84)","(159,84)",18.17083359,73.87083435,Bhatghar,1,0,2,666,,,1,1927,0,22852470
17,"-164,111","-164,111",18.12916756,74.09583282,Veer,,0,2,266,Tailored,Veer,1,1965,49,12206635
18,"(229, 205)","-229,205",17.58749962,74.87916565,Mhaswad,,0,2,46,Standard,Mhaswad,,1887,30,10358965
19,,,,,,,0,1,2,,,,0,0,1510047
20,"(38, 102)","-38,102",19.17916679,74.02083588,Yedgaon,,0,2,79,Tailored,Yedgaon,1,1977,26,5272415
21,"(40,82)","(40,82)",19.16250038,73.85416412,Wadaj,,0,2,33,Tailored,Wadaj,1,1983,27,3403455
22,"(48,69)","(48,69)",19.09583282,73.74583435,Dimbhe,,0,2,354,Tailored,Dimbhe,1,2000,24,8493675
23,"(65, 74)","(65,74)",18.95416641,73.78749847,Chaskaman,,0,2,213,Tailored,Chaskaman,1,1999,9,8058072
