index,lat,lon,Agent,CCA code,CCA name,Res ID,Res name
4158,19.4042,73.9042,51600.0,,,,
4159,19.4042,73.9125,51600.0,,,,
4160,19.4042,73.9208,51600.0,,,,
4161,19.4042,73.9292,51600.0,,,,
4528,19.3958,73.9042,51600.0,,,,
4529,19.3958,73.9125,51600.0,,,,
4530,19.3958,73.9208,51600.0,,,,
4531,19.3958,73.9292,51600.0,,,,
4887,19.3875,73.8125,51600.0,,,,
4888,19.3875,73.8208,51600.0,,,,
4889,19.3875,73.8292,51600.0,,,,
4893,19.3875,73.8625,51600.0,,,,
4894,19.3875,73.8708,51600.0,,,,
4895,19.3875,73.8792,51600.0,,,,
4896,19.3875,73.8875,51600.0,,,,
4897,19.3875,73.8958,51600.0,,,,
4898,19.3875,73.9042,51600.0,,,,
4899,19.3875,73.9125,51600.0,,,,
4900,19.3875,73.9208,51600.0,,,,
4901,19.3875,73.9292,51600.0,,,,
4902,19.3875,73.9375,51600.0,,,,
5257,19.3792,73.8125,51600.0,,,,
5258,19.3792,73.8208,51600.0,,,,
5259,19.3792,73.8292,51600.0,,,,
5260,19.3792,73.8375,51600.0,,,,
5261,19.3792,73.8458,51600.0,,,,
5262,19.3792,73.8542,51600.0,,,,
5263,19.3792,73.8625,51600.0,,,,
5264,19.3792,73.8708,51600.0,,,,
5265,19.3792,73.8792,51600.0,,,,
5266,19.3792,73.8875,51600.0,,,,
5267,19.3792,73.8958,51600.0,,,,
5268,19.3792,73.9042,51600.0,,,,
5269,19.3792,73.9125,51600.0,,,,
5270,19.3792,73.9208,51600.0,,,,
5271,19.3792,73.9292,51600.0,,,,
5272,19.3792,73.9375,51600.0,,,,
5273,19.3792,73.9458,51600.0,,,,
5274,19.3792,73.9542,51600.0,,,,
5275,19.3792,73.9625,51600.0,,,,
5276,19.3792,73.9708,51600.0,,,,
5627,19.3708,73.8125,51600.0,,,,
5628,19.3708,73.8208,51600.0,,,,
5629,19.3708,73.8292,51600.0,,,,
5630,19.3708,73.8375,51600.0,,,,
5631,19.3708,73.8458,51600.0,,,,
5632,19.3708,73.8542,51600.0,,,,
5633,19.3708,73.8625,51600.0,,,,
5634,19.3708,73.8708,51600.0,,,,
5635,19.3708,73.8792,51600.0,,,,
5636,19.3708,73.8875,51600.0,,,,
5637,19.3708,73.8958,51600.0,,,,
5638,19.3708,73.9042,51600.0,,,,
5639,19.3708,73.9125,51600.0,,,,
5640,19.3708,73.9208,51600.0,,,,
5641,19.3708,73.9292,51600.0,,,,
5642,19.3708,73.9375,51600.0,,,,
5643,19.3708,73.9458,51600.0,,,,
5644,19.3708,73.9542,51600.0,,,,
5645,19.3708,73.9625,51600.0,,,,
5646,19.3708,73.9708,51600.0,,,,
5647,19.3708,73.9792,51600.0,,,,
5648,19.3708,73.9875,51600.0,,,,
5997,19.3625,73.8125,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
5998,19.3625,73.8208,51600.0,,,,
5999,19.3625,73.8292,51600.0,,,,
6000,19.3625,73.8375,51600.0,,,,
6001,19.3625,73.8458,51600.0,,,,
6002,19.3625,73.8542,51600.0,,,,
6003,19.3625,73.8625,51600.0,,,,
6004,19.3625,73.8708,51600.0,,,,
6005,19.3625,73.8792,51600.0,,,,
6006,19.3625,73.8875,51600.0,,,,
6007,19.3625,73.8958,51600.0,,,,
6008,19.3625,73.9042,51600.0,,,,
6009,19.3625,73.9125,51600.0,,,,
6010,19.3625,73.9208,51600.0,,,,
6011,19.3625,73.9292,51600.0,,,,
6012,19.3625,73.9375,51600.0,,,,
6013,19.3625,73.9458,51600.0,,,,
6014,19.3625,73.9542,51600.0,,,,
6015,19.3625,73.9625,51600.0,,,,
6016,19.3625,73.9708,51600.0,,,,
6017,19.3625,73.9792,51600.0,,,,
6018,19.3625,73.9875,51600.0,,,,
6019,19.3625,73.9958,51600.0,,,,
6020,19.3625,74.0042,51600.0,,,,
6021,19.3625,74.0125,51600.0,,,,
6367,19.3542,73.8125,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
6368,19.3542,73.8208,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
6369,19.3542,73.8292,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
6370,19.3542,73.8375,51600.0,,,,
6371,19.3542,73.8458,51600.0,,,,
6372,19.3542,73.8542,51600.0,,,,
6373,19.3542,73.8625,51600.0,,,,
6374,19.3542,73.8708,51600.0,,,,
6375,19.3542,73.8792,51600.0,,,,
6376,19.3542,73.8875,51600.0,,,,
6377,19.3542,73.8958,51600.0,,,,
6378,19.3542,73.9042,51600.0,,,,
6379,19.3542,73.9125,51600.0,,,,
6380,19.3542,73.9208,51600.0,,,,
6381,19.3542,73.9292,51600.0,,,,
6382,19.3542,73.9375,51600.0,,,,
6383,19.3542,73.9458,51600.0,,,,
6384,19.3542,73.9542,51600.0,,,,
6385,19.3542,73.9625,51600.0,,,,
6386,19.3542,73.9708,51600.0,10.0,Chilewadi,3.0,Chilewadi
6387,19.3542,73.9792,51600.0,,,,
6388,19.3542,73.9875,51600.0,,,,
6389,19.3542,73.9958,51600.0,,,,
6390,19.3542,74.0042,51600.0,,,,
6391,19.3542,74.0125,51600.0,,,,
6737,19.3458,73.8125,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
6738,19.3458,73.8208,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
6739,19.3458,73.8292,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
6740,19.3458,73.8375,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
6741,19.3458,73.8458,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
6742,19.3458,73.8542,51600.0,,,,
6743,19.3458,73.8625,51600.0,,,,
6744,19.3458,73.8708,51600.0,,,,
6745,19.3458,73.8792,51600.0,,,,
6746,19.3458,73.8875,51600.0,,,,
6747,19.3458,73.8958,51600.0,,,,
6748,19.3458,73.9042,51600.0,,,,
6749,19.3458,73.9125,51600.0,,,,
6750,19.3458,73.9208,51600.0,,,,
6751,19.3458,73.9292,51600.0,,,,
6752,19.3458,73.9375,51600.0,,,,
6753,19.3458,73.9458,51600.0,,,,
6754,19.3458,73.9542,51600.0,10.0,Chilewadi,3.0,Chilewadi
6755,19.3458,73.9625,51600.0,10.0,Chilewadi,3.0,Chilewadi
6756,19.3458,73.9708,51600.0,10.0,Chilewadi,3.0,Chilewadi
6757,19.3458,73.9792,51600.0,,,,
6758,19.3458,73.9875,51600.0,,,,
6759,19.3458,73.9958,51600.0,,,,
6760,19.3458,74.0042,51600.0,,,,
6761,19.3458,74.0125,51600.0,,,,
7106,19.3375,73.8042,51600.0,,,,
7107,19.3375,73.8125,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
7108,19.3375,73.8208,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
7109,19.3375,73.8292,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
7110,19.3375,73.8375,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
7111,19.3375,73.8458,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
7112,19.3375,73.8542,51600.0,,,,
7113,19.3375,73.8625,51600.0,,,,
7114,19.3375,73.8708,51600.0,,,,
7115,19.3375,73.8792,51600.0,,,,
7116,19.3375,73.8875,51600.0,,,,
7117,19.3375,73.8958,51600.0,,,,
7118,19.3375,73.9042,51600.0,,,,
7119,19.3375,73.9125,51600.0,,,,
7120,19.3375,73.9208,51600.0,,,,
7121,19.3375,73.9292,51600.0,,,,
7122,19.3375,73.9375,51600.0,,,,
7123,19.3375,73.9458,51600.0,,,,
7124,19.3375,73.9542,51600.0,10.0,Chilewadi,3.0,Chilewadi
7125,19.3375,73.9625,51600.0,10.0,Chilewadi,3.0,Chilewadi
7126,19.3375,73.9708,51610.0,10.0,Chilewadi,3.0,Chilewadi
7127,19.3375,73.9792,51610.0,10.0,Chilewadi,3.0,Chilewadi
7128,19.3375,73.9875,51610.0,10.0,Chilewadi,3.0,Chilewadi
7129,19.3375,73.9958,51600.0,,,,
7130,19.3375,74.0042,51600.0,,,,
7131,19.3375,74.0125,51600.0,,,,
7476,19.3292,73.8042,51600.0,,,,
7477,19.3292,73.8125,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
7478,19.3292,73.8208,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
7479,19.3292,73.8292,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
7480,19.3292,73.8375,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
7481,19.3292,73.8458,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
7482,19.3292,73.8542,51600.0,25.0,Pimpalgaon Joge,8.0,Pimpalgaon Joge
7483,19.3292,73.8625,51600.0,,,,
7484,19.3292,73.8708,51600.0,,,,
7485,19.3292,73.8792,51600.0,,,,
7486,19.3292,73.8875,51600.0,,,,
7487,19.3292,73.8958,51600.0,,,,
7488,19.3292,73.9042,51600.0,,,,
7489,19.3292,73.9125,51600.0,,,,
7490,19.3292,73.9208,51600.0,,,,
7491,19.3292,73.9292,51600.0,,,,
7492,19.3292,73.9375,51600.0,,,,
7493,19.3292,73.9458,51600.0,,,,
7494,19.3292,73.9542,51600.0,,,,
7495,19.3292,73.9625,51600.0,,,,
7496,19.3292,73.9708,51600.0,,,,
7497,19.3292,73.9792,51610.0,10.0,Chilewadi,3.0,Chilewadi
7498,19.3292,73.9875,51610.0,10.0,Chilewadi,3.0,Chilewadi
7499,19.3292,73.9958,51610.0,10.0,Chilewadi,3.0,Chilewadi
7500,19.3292,74.0042,51600.0,,,,
7501,19.3292,74.0125,51600.0,,,,
7842,19.3208,73.7708,51600.0,,,,
7843,19.3208,73.7792,51600.0,,,,
7844,19.3208,73.7875,51600.0,,,,
