 
 WELLS WITH REDUCED PUMPING FOR STRESS PERIOD     1 TIME STEP     1
   LAY   ROW   COL         APPL.Q          ACT.Q        GW-HEAD       CELL-BOT
     1   200    35  -0.349600E+00  -0.300080E+00   0.658383E+03   0.650750E+03
     1   128    40  -0.116639E+01  -0.389379E+00   0.725885E+03   0.722011E+03
     1   128    41  -0.341326E+02  -0.857446E+01   0.757388E+03   0.754115E+03
     1   152    52  -0.283081E+02  -0.247721E+02   0.713178E+03   0.705386E+03
     1   114    57  -0.770343E+01  -0.586542E+01   0.913525E+03   0.906699E+03
     1   234    67  -0.236709E-01  -0.227435E-01   0.730331E+03   0.721520E+03
     1   104    70  -0.288013E+01  -0.274501E+01   0.102548E+04   0.101679E+04
     1    42    79  -0.845417E+02  -0.795584E+02   0.857371E+03   0.848845E+03
     1    40    84  -0.154629E+03  -0.135683E+03   0.822610E+03   0.814794E+03
     1    66    91  -0.105993E+02  -0.709604E+01   0.833318E+03   0.827165E+03
     1    33    95  -0.749959E+01  -0.551527E+01   0.808521E+03   0.801892E+03
     1    44   102  -0.368433E+02  -0.177365E+02   0.819286E+03   0.814408E+03
     1   258   102  -0.162552E+02  -0.161850E+02   0.726907E+03   0.717287E+03
     1    73   107  -0.541998E+02  -0.388598E+02   0.720869E+03   0.714376E+03
     1    82   114  -0.278015E+03  -0.240816E+03   0.686038E+03   0.678329E+03
     1    40   158  -0.142924E+02  -0.868415E+01   0.880998E+03   0.875272E+03
     1   336   176  -0.213154E+01  -0.147903E+01   0.819484E+03   0.813157E+03
     1    53   179  -0.155045E+02  -0.108073E+02   0.814282E+03   0.807932E+03
     1   133   291  -0.535576E+02  -0.511683E+02   0.685785E+03   0.677053E+03
     1   146   306  -0.989400E+01  -0.416385E+01   0.666558E+03   0.662084E+03
     1   447   308  -0.318848E+02  -0.228512E+02   0.697361E+03   0.690867E+03
     1   448   308  -0.165123E+01  -0.807014E+00   0.713172E+03   0.708243E+03
 
