,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
piped_rich,0.002806993,0.000866599,0.000417329,0.00506291,0.001793975,0.000875697,0.002806993,0.000583312,0.000379111,0.00506291,0.001223285,0.000795981,0.002806993,0.001735353,0.000833166,0.00506291,0.00356402,0.001690086,0.002806993,0.001168127,0.000749662,0.00506291,0.002411195,0.001527255,0.002890304,0.000871519,0.00042723,0.005220206,0.001800414,0.000898449,0.002890304,0.000620683,0.000462022,0.005220206,0.001299771,0.000969049,0.002806993,0.000873097,0.000420808,0.00506291,0.001798863,0.000878869,0.002806993,0.000591161,0.000395004,0.00506291,0.001232779,0.000895894,0.003455627,0.001582,0.000961851,0.006112361,0.003182553,0.00198245,0.003455627,0.001157548,0.000900792,0.006112361,0.002364062,0.001816475,0.003576553,0.003326995,0.002024955,0.006305546,0.006524519,0.004154182,0.003576553,0.002502907,0.00202348,0.006305546,0.004993065,0.004134206
piped_mid,0.002623988,0.000783451,0.000395901,0.005157456,0.001511512,0.000805353,0.002623988,0.000544702,0.000361801,0.005157456,0.001111198,0.000742514,0.002623988,0.001240563,0.000638616,0.005157456,0.002487412,0.001317605,0.002623988,0.000865577,0.00058123,0.005157456,0.001797942,0.001211673,0.002699937,0.000789134,0.000407401,0.005319649,0.001517904,0.00082928,0.002699937,0.000577127,0.000424116,0.005319649,0.001173442,0.000856632,0.002623988,0.000788718,0.000399032,0.005157456,0.001515118,0.00080844,0.002623988,0.000551024,0.000374821,0.005157456,0.00111866,0.000805057,0.003164939,0.001307768,0.000847718,0.006179211,0.002430406,0.001664494,0.003164939,0.000976584,0.000767165,0.006179211,0.001885701,0.001489758,0.003271566,0.002162554,0.001430745,0.006369987,0.004170009,0.00290879,0.003271566,0.001643775,0.001363961,0.006369987,0.003248345,0.002772789
piped_poor,0.004370407,0.001213118,0.000665046,0.007773573,0.0023579,0.001381604,0.004370407,0.000863027,0.00061687,0.007773573,0.001776815,0.001289532,0.004370407,0.001244647,0.000689428,0.007773573,0.002448844,0.001421704,0.004370407,0.000887473,0.000636924,0.007773573,0.001829979,0.001323803,0.004486998,0.001237635,0.000694367,0.00798102,0.002372893,0.001428997,0.004486998,0.000915466,0.000698954,0.00798102,0.001852599,0.001432042,0.004370407,0.001218652,0.000667545,0.007773573,0.002361557,0.001384021,0.004370407,0.000869448,0.000636576,0.007773573,0.001784466,0.001360464,0.005134208,0.001850506,0.001299582,0.009075906,0.0034769,0.002547819,0.005134208,0.001365594,0.001119869,0.009075906,0.002702532,0.002214627,0.005292703,0.001977017,0.00141926,0.009336503,0.003786442,0.00281363,0.005292703,0.001486395,0.001289155,0.009336503,0.002975418,0.002603595
well_rich,0.001403536,0.004816584,0.003382221,0.00060331,0.005593518,0.006160996,0.001403536,0.00511983,0.002745346,0.00060331,0.0065289,0.00551688,0.001403536,0.006861887,0.006065174,0.00060331,0.006612291,0.008624595,0.001403536,0.007718493,0.00534514,0.00060331,0.008272259,0.008658623,0.001361188,0.004624181,0.003417629,0.000568013,0.006083117,0.005227496,0.001361188,0.004913966,0.003063975,0.000568013,0.00702016,0.004867069,0.001403536,0.004804709,0.003381424,0.00060331,0.005593721,0.00614896,0.001403536,0.005099002,0.003087094,0.00060331,0.006532768,0.005531706,0.001375131,0.004777469,0.003617199,0.00048116,0.005335702,0.006241753,0.001375131,0.005152194,0.003016298,0.00048116,0.006410965,0.005741901,0.001328996,0.006301786,0.005577525,0.000470843,0.006179111,0.010442989,0.001328996,0.007441143,0.005113566,0.000470843,0.008390264,0.009558344
well_mid,0.004975844,0.00580479,0.0051566,0.004546862,0.00880336,0.007785873,0.004975844,0.005959479,0.004976551,0.004546862,0.009156099,0.007450725,0.004975844,0.008930451,0.008146078,0.004546862,0.013411495,0.012121276,0.004975844,0.009287945,0.00785918,0.004546862,0.014086651,0.011795136,0.004924694,0.005878177,0.005492657,0.004433466,0.008862013,0.008594292,0.004924694,0.006057524,0.005339913,0.004433466,0.009225458,0.008500133,0.004975844,0.005773601,0.005123867,0.004546862,0.008789559,0.007724284,0.004975844,0.005929934,0.005069038,0.004546862,0.009138259,0.007414765,0.004843844,0.005804641,0.00517934,0.004134503,0.008840417,0.007908984,0.004843844,0.006027588,0.005059531,0.004134503,0.009311418,0.007629327,0.004774679,0.009431596,0.009115119,0.00403778,0.01371139,0.013140467,0.004774679,0.009946835,0.00889264,0.00403778,0.014768214,0.013530249
well_poor,0.005588643,0.010408041,0.009964943,0.005876111,0.016654654,0.014507757,0.005588643,0.010771637,0.009729179,0.005876111,0.017077192,0.014311797,0.005588643,0.01556988,0.014939668,0.005876111,0.025024249,0.021822722,0.005588643,0.016151492,0.015116441,0.005876111,0.025877981,0.021683864,0.005466032,0.011376074,0.01239927,0.005649019,0.015641545,0.017558152,0.005466032,0.011758251,0.012733244,0.005649019,0.016298904,0.017376218,0.005588643,0.010394606,0.009967255,0.005876111,0.016648147,0.014432379,0.005588643,0.010762083,0.009865204,0.005876111,0.017062981,0.01429179,0.00519225,0.01029874,0.010191445,0.005216318,0.016010138,0.014343585,0.00519225,0.011000824,0.010095036,0.005216318,0.017202906,0.014553063,0.005031799,0.011673882,0.012415788,0.005008883,0.015258695,0.016769318,0.005031799,0.012311484,0.012378524,0.005008883,0.01682235,0.017826028
tanker_rich,0.001759809,0.012825729,0.016370274,0.001740589,0.018806709,0.018663474,0.001759809,0.012225282,0.01752595,0.001740589,0.018518443,0.019696212,0.001759809,0.012751267,0.0163115,0.001740589,0.014594175,0.01844468,0.001759809,0.016187627,0.017444729,0.001740589,0.0183008,0.019458862,0.001708468,0.014187914,0.012382676,0.001658998,0.013012036,0.014879309,0.001708468,0.01760275,0.010903644,0.001658998,0.01648575,0.016736982,0.001759809,0.006269046,0.008564548,0.001740589,0.007166817,0.009161206,0.001759809,0.008430731,0.009006048,0.001740589,0.009001408,0.009776665,0.001701327,0.011847264,0.015783158,0.001466295,0.013637424,0.018059749,0.001701327,0.015531767,0.017019251,0.001466295,0.017916797,0.019234144,0.00165308,0.007094122,0.011470581,0.001414832,0.007327187,0.006794207,0.00165308,0.008833921,0.012025989,0.001414832,0.008981684,0.008900737
tanker_mid,0.011207887,0.07957001,0.097157726,0.010185019,0.071562826,0.087217171,0.011207887,0.095680989,0.101194786,0.010185019,0.086017403,0.090800437,0.011207887,0.07913769,0.096765747,0.010185019,0.070878734,0.086513336,0.011207887,0.095432802,0.100753678,0.010185019,0.085323304,0.090018645,0.01081303,0.05336078,0.050876591,0.009902235,0.055805074,0.058701145,0.01081303,0.06076953,0.049982548,0.009902235,0.065192088,0.05899143,0.011207887,0.019630023,0.021891871,0.010185019,0.026615196,0.029568939,0.011207887,0.021017056,0.022234942,0.010185019,0.028356213,0.030133263,0.010227586,0.070691663,0.093537706,0.009148189,0.063028574,0.083826753,0.010227586,0.09310248,0.098634345,0.009148189,0.083665814,0.088504286,0.009804564,0.022474684,0.025698346,0.008877184,0.026131309,0.030893016,0.009804564,0.024798495,0.026675789,0.008877184,0.028977686,0.03164616
tanker_poor,0.012295999,0.132121833,0.162635113,0.008079568,0.089112091,0.112298647,0.012295999,0.160712909,0.169373816,0.008079568,0.111327188,0.117370099,0.012295999,0.131435668,0.162097184,0.008079568,0.088227259,0.111516868,0.012295999,0.16038972,0.168794735,0.008079568,0.110555022,0.116512649,0.011758797,0.075829659,0.064487845,0.007876518,0.07467955,0.072510354,0.011758797,0.088743493,0.060139038,0.007876518,0.089453362,0.072542753,0.012295999,0.029128933,0.032183912,0.008079568,0.032364342,0.036241236,0.012295999,0.030597518,0.032643241,0.008079568,0.034659917,0.036962462,0.010806781,0.108224463,0.157723541,0.007421364,0.071926434,0.108954003,0.010806781,0.156361983,0.165575875,0.007421364,0.108077443,0.114839422,0.010213553,0.02156388,0.021521674,0.007207137,0.030465103,0.029124299,0.010213553,0.02392386,0.021941022,0.007207137,0.03445758,0.030022306
tanker_rich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
