,0
0,29.767267
1,58.28925
2,46.9814
3,88.25235
4,280.5859
5,295.61523
6,340.2507
7,374.19083
8,290.75082
9,219.98619
10,154.40448
11,112.641266
12,86.31403
13,68.54292
14,59.00854
15,55.604553
16,56.56197
17,57.8039
18,56.59902
19,53.522312
20,51.709866
21,50.53031
22,49.989967
23,48.68157
24,46.033497
25,42.145245
26,40.926895
27,43.553207
28,46.794388
29,47.271244
30,43.36011
31,48.800163
32,52.598724
33,66.524666
34,781.2005
35,287.21826
36,150.36461
37,94.99077
38,71.062935
39,77.97482
40,160.93504
41,187.1702
42,240.27422
43,697.5848
44,442.35968
45,228.36012
46,139.71974
47,116.71018
48,113.69677
49,112.74014
50,100.16458
51,81.92312
52,68.339355
53,61.290592
54,56.748886
55,53.848103
56,52.335804
57,51.984074
58,49.933754
59,47.49281
60,45.68538
61,40.357674
62,37.63476
63,34.56533
64,31.952211
65,29.207195
66,26.444988
67,24.233593
68,22.967794
69,22.63196
70,24.094816
71,30.004793
72,87.656105
73,171.75328
74,115.47387
75,79.04619
76,57.67838
77,45.977768
78,41.498737
79,40.18479
80,39.092533
81,38.03326
82,40.73884
83,52.294933
84,65.04781
85,75.15169
86,151.9902
87,261.53122
88,185.56503
89,216.1466
90,226.69394
91,155.84088
92,102.562195
93,75.99031
94,69.350235
95,72.20663
96,78.204834
97,64.73392
98,50.49479
99,40.9469
100,35.550423
101,32.980247
102,32.09993
103,31.366737
104,30.571314
105,29.571487
106,28.783663
107,28.263153
108,27.839504
109,27.168955
110,26.324335
111,25.419806
112,28.054213
113,146.86473
114,236.40778
115,135.7883
116,88.18785
117,72.19579
118,243.98831
119,215.79553
120,140.46275
121,127.11496
122,84.64221
123,59.12816
124,45.522057
125,38.186947
126,34.01189
127,31.012272
128,28.602015
129,26.831682
130,27.782644
131,32.081432
132,56.76094
133,100.788055
134,102.90335
135,103.48233
136,79.07434
137,58.96139
138,53.35848
139,51.688396
140,44.07454
141,35.94578
142,30.910011
143,28.32525
144,26.870995
145,25.594114
146,24.824787
147,24.148869
148,24.010756
149,23.701647
150,23.20679
151,22.942741
152,22.524714
153,20.398014
154,20.513258
155,19.559656
156,17.361261
157,16.395487
158,17.60561
159,21.38668
160,42.028328
161,51.864872
162,45.225224
163,36.186047
164,30.885698
165,27.738655
166,26.705826
167,27.230421
168,28.209627
169,29.90755
170,32.343513
171,34.338478
172,35.24058
173,36.01572
174,35.591038
175,36.10369
176,36.506767
177,36.180862
178,36.599277
179,37.451912
180,37.343067
181,37.29441
182,37.262238
183,36.15718
184,34.970493
185,33.261295
186,31.32866
187,29.152496
188,28.522696
